"REF_DATE","GEO","DGUID","Variable","Sub-sector","Activity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595302","4.1.2.9","1","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","International","Jobs","190","thousands","3","v1047595303","4.1.2.10","0","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Religion","Jobs","190","thousands","3","v1047595304","4.1.2.11","2","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Business and professional associations, unions","Jobs","190","thousands","3","v1047595305","4.1.2.12","5","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Not elsewhere classified","Jobs","190","thousands","3","v1047595306","4.1.2.13","1","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Total activities","Jobs","190","thousands","3","v1047595112","5.1.1.1","41","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Culture and recreation","Jobs","190","thousands","3","v1047595113","5.1.1.2","1","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Education and research","Jobs","190","thousands","3","v1047595114","5.1.1.3","8","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Health","Jobs","190","thousands","3","v1047595115","5.1.1.4","19","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Social services","Jobs","190","thousands","3","v1047595116","5.1.1.5","4","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Environment","Jobs","190","thousands","3","v1047595117","5.1.1.6","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Development and housing","Jobs","190","thousands","3","v1047595118","5.1.1.7","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595119","5.1.1.8","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595120","5.1.1.9","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","International","Jobs","190","thousands","3","v1047595121","5.1.1.10","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Religion","Jobs","190","thousands","3","v1047595122","5.1.1.11","2","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Business and professional associations, unions","Jobs","190","thousands","3","v1047595123","5.1.1.12","3","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions","Not elsewhere classified","Jobs","190","thousands","3","v1047595124","5.1.1.13","1","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Total activities","Jobs","190","thousands","3","v1047595307","5.1.2.1","12","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Culture and recreation","Jobs","190","thousands","3","v1047595308","5.1.2.2","1","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Education and research","Jobs","190","thousands","3","v1047595309","5.1.2.3","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Health","Jobs","190","thousands","3","v1047595310","5.1.2.4","1","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Social services","Jobs","190","thousands","3","v1047595311","5.1.2.5","2","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Environment","Jobs","190","thousands","3","v1047595312","5.1.2.6","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Development and housing","Jobs","190","thousands","3","v1047595313","5.1.2.7","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595314","5.1.2.8","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595315","5.1.2.9","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","International","Jobs","190","thousands","3","v1047595316","5.1.2.10","0","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Religion","Jobs","190","thousands","3","v1047595317","5.1.2.11","2","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Business and professional associations, unions","Jobs","190","thousands","3","v1047595318","5.1.2.12","3","","","","0"
"2007","New Brunswick","2016A000213","Employment","Total non-profit institutions less government","Not elsewhere classified","Jobs","190","thousands","3","v1047595319","5.1.2.13","1","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Total activities","Jobs","190","thousands","3","v1047595125","6.1.1.1","543","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Culture and recreation","Jobs","190","thousands","3","v1047595126","6.1.1.2","16","","","","0"
"2007","Quebec","2016A000224","Employment","Total non-profit institutions","Education and research","Jobs","190","thousands","3","v1047595127","6.1.1.3","111","","","","0"
